low/low01.csv: [400, -480, 720, -200, 720, -160, 360, -560, 320, -560, 720, -160, 360, -560, 360, -560, 320, -560, 640, -280, 640, -240, 680, -200, 400, -520, 640, -240, 360, -560, 320, -560, 360, -560, 360, -520, 360, -560, 320, -560, 320, -600, 320, -560, 320]
low/low02.csv: [400, -520, 680, -200, 640, -240, 400, -520, 320, -560, 680, -240, 320, -560, 320, -600, 320, -560, 640, -280, 600, -280, 600, -320, 320, -560, 600, -280, 360, -560, 320, -560, 360, -560, 280, -600, 320, -600, 280, -600, 320, -600, 320, -560, 320]
low/low03.csv: [320, -560, 640, -240, 680, -240, 320, -560, 320, -600, 600, -280, 320, -600, 320, -560, 320, -600, 600, -280, 600, -280, 640, -280, 320, -560, 640, -280, 320, -560, 320, -600, 280, -600, 280, -640, 280, -600, 320, -600, 280, -600, 320, -560, 320]
low/low04.csv: [320, -600, 640, -240, 640, -240, 320, -600, 320, -560, 640, -280, 280, -600, 320, -560, 320, -600, 600, -280, 640, -240, 640, -280, 280, -640, 600, -280, 280, -600, 320, -600, 320, -560, 320, -600, 280, -600, 320, -600, 280, -600, 320, -600, 280]
low/low05.csv: [360, -560, 640, -240, 640, -280, 320, -560, 360, -560, 640, -240, 320, -600, 320, -560, 320, -560, 640, -280, 600, -280, 640, -280, 320, -560, 600, -320, 280, -600, 320, -600, 280, -600, 320, -560, 320, -600, 280, -600, 320, -600, 280, -600, 320]
low/low06.csv: [360, -520, 640, -280, 600, -280, 360, -560, 320, -560, 640, -240, 360, -560, 320, -560, 320, -600, 600, -280, 600, -320, 600, -280, 320, -600, 600, -280, 320, -580, 300, -600, 280, -640, 280, -600, 320, -560, 320, -600, 280, -600, 320, -600, 280]
low/low07.csv: [280, -600, 640, -240, 640, -280, 320, -560, 360, -560, 600, -280, 320, -600, 320, -560, 320, -600, 600, -280, 600, -320, 600, -280, 320, -600, 600, -280, 280, -600, 320, -600, 320, -560, 320, -600, 280, -600, 280, -600, 320, -600, 280, -600, 320]
low/low08.csv: [320, -560, 640, -240, 640, -280, 320, -560, 320, -600, 620, -260, 320, -600, 320, -560, 320, -600, 600, -280, 600, -280, 640, -280, 320, -560, 640, -280, 320, -560, 320, -600, 280, -600, 280, -640, 280, -600, 280, -600, 320, -600, 320, -560, 280]
low/low09.csv: [400, -520, 640, -240, 640, -240, 360, -560, 360, -560, 680, -200, 360, -520, 400, -520, 320, -560, 640, -240, 640, -280, 640, -240, 360, -560, 640, -240, 360, -560, 280, -20, 20, -560, 320, -600, 600, -280, 320, -560, 640, -280, 320, -560, 320, -600, 600]
low/low10.csv: [320, -560, 640, -240, 640, -280, 360, -520, 360, -560, 600, -280, 360, -560, 320, -560, 360, -560, 600, -280, 640, -240, 640, -280, 320, -600, 600, -280, 320, -600, 280, -600, 280, -600, 600, -320, 320, -560, 600, -320, 280, -600, 320, -600, 600]
low/low11.csv: [320, -560, 640, -280, 600, -280, 320, -600, 320, -560, 640, -280, 320, -560, 320, -600, 320, -560, 600, -280, 640, -280, 600, -280, 320, -600, 600, -280, 320, -600, 280, -600, 320, -600, 600, -280, 280, -640, 560, -320, 280, -640, 280, -600, 640]
